"user_id","user_role_id","updated_at","created_at"
5857,3,"2014-06-22 10:14:00.777883","2014-06-22 10:14:00.777883"
5858,3,"2014-06-22 10:14:01.684403","2014-06-22 10:14:01.684403"
5861,3,"2014-06-22 10:15:20.851446","2014-06-22 10:15:20.851446"
5862,3,"2014-06-22 10:17:15.709502","2014-06-22 10:17:15.709502"
5866,3,"2014-06-22 10:19:03.425369","2014-06-22 10:19:03.425369"
5871,3,"2014-06-22 10:22:29.08347","2014-06-22 10:22:29.08347"
5874,3,"2014-06-22 10:25:19.317978","2014-06-22 10:25:19.317978"
5875,3,"2014-06-22 10:26:41.788471","2014-06-22 10:26:41.788471"
5879,3,"2014-06-22 10:30:25.63268","2014-06-22 10:30:25.63268"
5882,3,"2014-06-22 10:32:58.619701","2014-06-22 10:32:58.619701"
5886,3,"2014-06-22 10:43:02.513641","2014-06-22 10:43:02.513641"
5896,3,"2014-06-22 10:52:42.316008","2014-06-22 10:52:42.316008"
5897,3,"2014-06-22 10:53:37.333287","2014-06-22 10:53:37.333287"
5898,3,"2014-06-22 10:54:06.108675","2014-06-22 10:54:06.108675"
5899,3,"2014-06-22 10:55:51.379605","2014-06-22 10:55:51.379605"
5900,3,"2014-06-22 10:56:15.169505","2014-06-22 10:56:15.169505"
5905,3,"2014-06-22 11:00:07.809892","2014-06-22 11:00:07.809892"
5909,3,"2014-06-22 11:08:10.333447","2014-06-22 11:08:10.333447"
5910,3,"2014-06-22 11:08:55.157294","2014-06-22 11:08:55.157294"
5915,3,"2014-06-22 11:14:07.280326","2014-06-22 11:14:07.280326"
5918,3,"2014-06-22 11:19:22.206706","2014-06-22 11:19:22.206706"
5919,3,"2014-06-22 11:20:34.227989","2014-06-22 11:20:34.227989"
5924,3,"2014-06-22 11:27:49.545088","2014-06-22 11:27:49.545088"
5928,3,"2014-06-22 11:31:16.757262","2014-06-22 11:31:16.757262"
5933,3,"2014-06-22 11:43:17.253871","2014-06-22 11:43:17.253871"
